what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"linux",1270202293969
arch,sysinfo,,,"x86",1270202293969
ws,sysinfo,,,"gtk",1270202293969
locale,sysinfo,,,"fr_FR",1270202293969
processors,sysinfo,,,"2",1270202293969
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270202293969
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1270202293969
java.specification.name,sysinfo,,,"Java Platform API Specification",1270202293969
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202293969
java.specification.version,sysinfo,,,"1.6",1270202293969
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202293969
java.version,sysinfo,,,"1.6.0_17",1270202293969
java.vm.info,sysinfo,,,"mixed mode, sharing",1270202293969
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270202293969
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270202293969
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202293969
java.vm.specification.version,sysinfo,,,"1.0",1270202293970
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270202293970
java.vm.version,sysinfo,,,"14.3-b01",1270202293970
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1270202294400
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1270202294418
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1270202294642
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1270202294808
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1270202294960
stopped,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1270202295216
